,Name,Throws,School,Conference,Initiated Date,Grade,G,GS,BF,IP,K,BB,HR,BA,ERA,xFIP,WHIP,K%,BB%,HR%,wOBA,FB/GB,Strike%,CSW%,TopVelo,Multiple Transfers?,K-BB
0,"Osier, Connor",R,Houston,Big 12,7/2/2025,,2,0,10,1.2,1,4,0,.167,10.80,9.18,3.00,10.0%,40.0%,0.0%,.368,0.0,37.5%,20%,91.9,FALSE,-30.0%
1,"Moore, Cooper",R,Kansas,Big 12,7/2/2025,4.5,13,12,321,77.2,73,16,5,.248,3.48,3.27,1.16,22.7%,5.0%,1.6%,.280,0.3,67.7%,31%,93,FALSE,17.7%
2,"Wooster, Caden",R,Santa Clara,WCC,7/1/2025,2,18,0,126,27.1,29,15,3,.225,7.24,5.02,1.39,23.0%,11.9%,2.4%,.329,1.0,60.6%,29%,94,FALSE,11.1%
3,"Smith, Nic",L,Missouri,SEC,7/1/2025,,5,0,15,3.2,2,1,0,.273,2.45,6.66,1.09,13.3%,6.7%,0.0%,.367,1.3,59.0%,25%,79.8,FALSE,6.6%
4,"Bailey, Kieran",L,SIU Edwardsville,Ohio,7/1/2025,,13,0,76,14.2,12,16,1,.224,4.91,6.36,1.98,15.8%,21.1%,1.3%,.352,0.2,52.3%,28%,85.3,TRUE,-5.3%
5,"Mork, Keenan",R,Notre Dame,ACC,7/1/2025,,8,0,32,8,10,3,0,.120,1.13,3.76,0.75,31.3%,9.4%,0.0%,.224,0.6,56.3%,31%,89.2,FALSE,21.9%
6,"Ficklin, Nolan",L,BYU,Big 12,7/1/2025,1.2,18,0,88,17.1,13,14,3,.275,7.79,6.12,1.90,14.8%,15.9%,3.4%,.395,0.3,51.7%,23%,88,FALSE,-1.1%
7,"Robertson, Jamie",R,San Diego,WCC,7/1/2025,,16,0,85,18.1,23,4,1,.315,5.40,3.78,1.47,27.1%,4.7%,1.2%,.359,0.6,65.3%,31%,90.2,FALSE,22.4%
8,"Farley, Ziegen",R,BYU,Big 12,7/1/2025,,4,0,22,2.2,3,6,1,.417,33.75,13.13,4.13,13.6%,27.3%,4.5%,.559,0.4,53.1%,31%,89.3,FALSE,-13.7%
9,"Rerick, Drew",R,Texas,Big 12,7/1/2025,,7,2,39,7,7,11,1,.192,9.00,8.02,2.29,17.9%,28.2%,2.6%,.386,0.7,51.9%,27%,95.8,FALSE,-10.3%
10,"McGown, Amare",R,Southern,SWAC,7/1/2025,,8,0,59,9.1,9,6,2,.479,20.25,5.74,3.11,15.3%,10.2%,3.4%,.542,0.4,61.7%,25%,88,FALSE,5.1%
11,"Linn, Conner",L,Northern Kentucky,Horizon,7/1/2025,,14,14,287,59,56,24,12,.292,7.63,4.23,1.64,19.5%,8.4%,4.2%,.385,0.6,65.2%,31%,89.2,FALSE,11.1%
12,"Gay, Alex",R,Louisville,ACC,7/1/2025,,7,0,22,4,3,4,1,.294,18.00,6.54,2.25,13.6%,18.2%,4.5%,.413,0.3,49.0%,22%,90.5,FALSE,-4.6%
