TruMedia,Trackman,School,ConferenceFull,Conference,ClassSchool,Ncaa Name
Abilene Christian University,ABI_WIL,Abilene Christian,D1 Western Athletic Conference,WAC,ACU,Abilene Christian University
Air Force Academy,AIR_FOR,Air Force,D1 Mountain West Conference,MWC,Air Force,U.S. Air Force Academy
University of Akron,AKR_ZIP,Akron,D1 Mid-American Conference,MAC,Akron,University of Akron
University of Alabama,ALA_CRI,Alabama,D1 Southeastern Conference,SEC,Alabama,University of Alabama
Alabama A&M University,ALA_ANM,Alabama A&M,D1 Southwestern Athletic Conf.,SWAC,AL A&M,Alabama A&M University
Alabama State University,ALA_HOR,Alabama State,D1 Southwestern Athletic Conf.,SWAC,Alabama St.,Alabama State University
University at Albany,ALB_GRE,Albany,D1 America East Conference,AmEast,Albany,University at Albany
Alcorn State University,ALC_BRA,Alcorn State,D1 Southwestern Athletic Conf.,SWAC,Alcorn,Alcorn State University
Appalachian State University,APP_MOU,Appalachian State,D1 Sun Belt Conference,Sun Belt,App State,Appalachian State University
University of Arizona,ARI_WIL,Arizona,D1 Big 12 Conference,Big 12,Arizona,University of Arizona
Arizona State University,ARI_SUN,Arizona State,D1 Big 12 Conference,Big 12,Arizona St.,Arizona State University
University of Arkansas,ARK_RAZ,Arkansas,D1 Southeastern Conference,SEC,Arkansas,"University of Arkansas, Fayetteville"
Arkansas State University,ASU_RED,Arkansas State,D1 Sun Belt Conference,Sun Belt,Arkansas St.,Arkansas State University
University of Arkansas-Pine Bluff,ARK_LIO,Arkansas-Pine Bluff,D1 Southwestern Athletic Conf.,SWAC,Pine Bluff,University of Arkansas-Pine Bluff
Army West Point,ARM_BLA,Army,D1 Patriot League,Patriot,Army,U.S. Military Academy
Auburn University,AUB_TIG,Auburn,D1 Southeastern Conference,SEC,Auburn,Auburn University
Austin Peay State University,AUS_GOV,Austin Peay,D1 Atlantic Sun Conference,ASUN,Austin Peay,Austin Peay State University
Ball State University,BAL_CAR,Ball State,D1 Mid-American Conference,MAC,Ball State,Ball State University
Baylor University,BAY_BEA,Baylor,D1 Big 12 Conference,Big 12,Baylor,Baylor University
Bellarmine University,BEL_KNI,Bellarmine,D1 Atlantic Sun Conference,ASUN,Bellarmine,Bellarmine University
Belmont University,BEL_BRU,Belmont,D1 Missouri Valley Conference,MVC,Belmont,Belmont University
Bethune-Cookman University,BET_WIL,Bethune-Cookman,D1 Southwestern Athletic Conf.,SWAC,Cookman,Bethune-Cookman University
Binghamton University,BIN_BEA,Binghamton,D1 America East Conference,AmEast,Binghamton,Binghamton University
Boston College,BOC_EAG,Boston College,D1 Atlantic Coast Conference,ACC,Boston Col.,Boston College
Bowling Green State University,BGS_FAL,Bowling Green,D1 Mid-American Conference,MAC,BGSU,Bowling Green State University
Bradley University,BRA_BRA,Bradley,D1 Missouri Valley Conference,MVC,Bradley,Bradley University
Brown University,BRO_BEA,Brown,D1 The Ivy League,Ivy,Brown,Brown University
Bryant University,BRY_BUL,Bryant,D1 America East Conference,AmEast,Bryant,Bryant University
Bucknell University,BUC_BIS,Bucknell,D1 Patriot League,Patriot,Bucknell,Bucknell University
Butler University,BUT_BUL,Butler,D1 Big East Conference,Big East,Butler,Butler University
Brigham Young University,BYU_COU,BYU,D1 Big 12 Conference,Big 12,BYU,Brigham Young University
Cal Poly,CAL_MUS,Cal Poly,D1 Big West Conference,Big West,Cal Poly,California Polytechnic State University
University of California,CAL_BEA,California,D1 Atlantic Coast Conference,ACC,California,"University of California, Berkeley"
California Baptist University,CAL_LAN,California Baptist,D1 Western Athletic Conference,WAC,Cal Baptist,California Baptist University
Campbell University,CAM_CAM,Campbell,D1 Coastal Athletic Association,CAA,Campbell,Campbell University
Canisius College,CAN_GRI,Canisius,D1 Metro Atlantic Athletic Conference,MAAC,Canisius,Canisius University
University of Central Arkansas,CEN_BEA,Central Arkansas,D1 Atlantic Sun Conference,ASUN,Central AR,University of Central Arkansas
Central Connecticut State University,CCU_BLD,Central Connecticut State,D1 Northeast Conference,NEC,Central CT,Central Connecticut State University
University of Central Florida,UCF_KNI,Central Florida,D1 Big 12 Conference,Big 12,UCF,University of Central Florida
Central Michigan University,CEN_MIC,Central Michigan,D1 Mid-American Conference,MAC,Central MI,Central Michigan University
Charleston Southern University,CHA_BUC,Charleston Southern,D1 Big South Conference,Big South,CSU,Charleston Southern University
UNC Charlotte,CHA_FOR,Charlotte,D1 American Athletic Conference,AAC,Charlotte,The University of North Carolina at Charlotte
University of Cincinnati,CIN_BEA,Cincinnati,D1 Big 12 Conference,Big 12,Cincinnati,University of Cincinnati
Clemson University,CLE_TIG,Clemson,D1 Atlantic Coast Conference,ACC,Clemson,Clemson University
Coastal Carolina University,COA_CHA,Coastal Carolina,D1 Sun Belt Conference,Sun Belt,Coastal,Coastal Carolina University
College of Charleston,COL_CHA,College of Charleston,D1 Coastal Athletic Association,CAA,Charleston,College of Charleston (South Carolina)
Columbia University,COL_LION,Columbia,D1 The Ivy League,Ivy,Columbia,Columbia University-Barnard College
University of Connecticut,UCO_HUS,Connecticut,D1 Big East Conference,Big East,UConn,University of Connecticut
Coppin State University,COP_STA,Coppin State,D1 Northeast Conference,NEC,Coppin,Coppin State University
Cornell University,COR_BRE,Cornell,D1 The Ivy League,Ivy,Cornell,Cornell University
Creighton University,CRE_BLU,Creighton,D1 Big East Conference,Big East,Creighton,Creighton University
CSU Bakersfield,CSU_BAK,CSU Bakersfield,D1 Big West Conference,Big West,CSUB,"California State University, Bakersfield"
Cal State Fullerton,CAL_FUL,CSU Fullerton,D1 Big West Conference,Big West,CS Fullerton,"California State University, Fullerton"
Cal State-Northridge,CAL_MAT,CSU Northridge,D1 Big West Conference,Big West,CSUN,"California State University, Northridge"
Dallas Baptist University,DAL_PAT,Dallas Baptist,D1 Conference USA,CUSA,DBU,Dallas Baptist University
Dartmouth College,DAR_GRE,Dartmouth,D1 The Ivy League,Ivy,Dartmouth,Dartmouth College
Davidson College,DAV_WIL,Davidson,D1 Atlantic 10 Conference,A-10,Davidson,Davidson College
University of Dayton,DAY_FLY,Dayton,D1 Atlantic 10 Conference,A-10,Dayton,University of Dayton
University of Delaware,DEL_BLU,Delaware,D1 Coastal Athletic Association,CAA,Delaware,University of Delaware
Delaware State University,DEL_HOR,Delaware State,D1 Northeast Conference,NEC,Delaware St.,Delaware State University
Duke University,DUK_BLU,Duke,D1 Atlantic Coast Conference,ACC,Duke,Duke University
East Carolina University,ECU_PIR,East Carolina,D1 American Athletic Conference,AAC,ECU,East Carolina University
East Tennessee State University,ETS_BUC,East Tennessee State,D1 Southern Conference,SoCon,ETSU,East Tennessee State University
Eastern Illinois University,EIU_PAN,Eastern Illinois,D1 Ohio Valley Conference,Ohio,Eastern IL,Eastern Illinois University
Eastern Kentucky University,EKU_COL,Eastern Kentucky,D1 Atlantic Sun Conference,ASUN,EKU,Eastern Kentucky University
Eastern Michigan University,EMU_EAG,Eastern Michigan,D1 Mid-American Conference,MAC,Eastern MI,Eastern Michigan University
Elon University,ELO_PHO,Elon,D1 Coastal Athletic Association,CAA,Elon,Elon University
University of Evansville,EVA_ACE,Evansville,D1 Missouri Valley Conference,MVC,Evansville,University of Evansville
Fairfield University,FAI_STA,Fairfield,D1 Metro Atlantic Athletic Conference,MAAC,Fairfield,Fairfield University
Fairleigh Dickinson University,FDU_KNI,Fairleigh Dickinson,D1 Northeast Conference,NEC,FDU,"Fairleigh Dickinson University, Metropolitan Campus"
University of Florida,FLA_GAT,Florida,D1 Southeastern Conference,SEC,Florida,University of Florida
Florida A&M University,FLO_RAT,Florida A&M,D1 Southwestern Athletic Conf.,SWAC,Florida A&M,Florida A&M University
Florida Atlantic University,FAU_OWL,Florida Atlantic,D1 American Athletic Conference,AAC,FAU,Florida Atlantic University
Florida Gulf Coast University,FGCU,Florida Gulf Coast,D1 Atlantic Sun Conference,ASUN,FGCU,Florida Gulf Coast University
Florida International University,FLO_PAN,Florida International,D1 Conference USA,CUSA,FIU,Florida International University
Florida State University,FLO_SEM,Florida State,D1 Atlantic Coast Conference,ACC,Florida St.,Florida State University
Fordham University,FOR_RAM,Fordham,D1 Atlantic 10 Conference,A-10,Fordham,Fordham University
Fort Wayne,PUR_FOR,Fort Wayne,D1 Horizon League,Horizon,Fort Wayne,Purdue University Fort Wayne
Fresno State,FRE_BUL,Fresno State,D1 Mountain West Conference,MWC,Fresno St.,"California State University, Fresno"
Gardner Webb University,GAR_RUN,Gardner Webb,D1 Big South Conference,Big South,Gard.-Webb,Gardner-Webb University
George Mason University,GEO_PAT,George Mason,D1 Atlantic 10 Conference,A-10,Mason,George Mason University
George Washington University,GEO_COL,George Washington,D1 Atlantic 10 Conference,A-10,George Wash.,George Washington University
Georgetown University,GEO_HOY,Georgetown,D1 Big East Conference,Big East,Georgetown,Georgetown University
University of Georgia,GEO_BUL,Georgia,D1 Southeastern Conference,SEC,Georgia,University of Georgia
Georgia Southern University,GEO_EAG,Georgia Southern,D1 Sun Belt Conference,Sun Belt,GA Southern,Georgia Southern University
Georgia State University,GEO_PAN,Georgia State,D1 Sun Belt Conference,Sun Belt,GA State,Georgia State University
Georgia Tech,GIT_YEL,Georgia Tech,D1 Atlantic Coast Conference,ACC,GA Tech,Georgia Institute of Technology
Gonzaga University,GON_BUL,Gonzaga,D1 West Coast Conference,WCC,Gonzaga,Gonzaga University
Grambling State University,GRA_TIG,Grambling State,D1 Southwestern Athletic Conf.,SWAC,Grambling,Grambling State University
Grand Canyon University,GRA_CAN,Grand Canyon,D1 Western Athletic Conference,WAC,GCU,Grand Canyon University
Harvard University,HAR_CRI,Harvard,D1 The Ivy League,Ivy,Harvard,Harvard University
"University of Hawaii, Manoa",HAW_WAR,Hawaii,D1 Big West Conference,Big West,Hawaii,"University of Hawaii, Manoa"
High Point University,HIG_PAN,High Point,D1 Big South Conference,Big South,High Point,High Point University
Hofstra University,HOF_PRI,Hofstra,D1 Coastal Athletic Association,CAA,Hofstra,Hofstra University
College of the Holy Cross,HOL_CRU,Holy Cross,D1 Patriot League,Patriot,Holy Cross,College of the Holy Cross
University of Houston,HOU_COU,Houston,D1 Big 12 Conference,Big 12,Houston,University of Houston
Houston Baptist University,HBU_HUS,Houston Baptist,D1 Southland Conference,SLC,HCU,Houston Christian University
University of Illinois,ILL_ILL,Illinois,D1 Big Ten Conference,Big 10,Illinois,University of Illinois Urbana-Champaign
Illinois State University,ILL_RED,Illinois State,D1 Missouri Valley Conference,MVC,Illinois St.,Illinois State University
University of Illinois-Chicago,UIC_FLA,Illinois-Chicago,D1 Missouri Valley Conference,MVC,UIC,University of Illinois Chicago
University of the Incarnate Word,IWC,Incarnate Word,D1 Southland Conference,SLC,UIW,University of the Incarnate Word
"Indiana University, Bloomington",IU,Indiana,D1 Big Ten Conference,Big 10,Indiana,"Indiana University, Bloomington"
Indiana State University,IND_SYC,Indiana State,D1 Missouri Valley Conference,MVC,Indiana St.,Indiana State University
Iona College,ION_GAE,Iona,D1 Metro Atlantic Athletic Conference,MAAC,Iona,Iona University
University of Iowa,IOW_HAW,Iowa,D1 Big Ten Conference,Big 10,Iowa,University of Iowa
Jackson State University,JAC_TIG,Jackson State,D1 Southwestern Athletic Conf.,SWAC,Jackson St.,Jackson State University
Jacksonville University,JUD,Jacksonville,D1 Atlantic Sun Conference,ASUN,Jacksonville,Jacksonville University
Jacksonville State University,JAC_GAM,Jacksonville State,D1 Conference USA,CUSA,J'Ville State,Jacksonville State University
James Madison University,JMU_DUK,James Madison,D1 Sun Belt Conference,Sun Belt,JMU,James Madison University
University of Kansas,KAN_JAY,Kansas,D1 Big 12 Conference,Big 12,Kansas,University of Kansas
Kansas State University,KAN_WIL,Kansas State,D1 Big 12 Conference,Big 12,K-State,Kansas State University
Kennesaw State University,KEN_OWL,Kennesaw State,D1 Conference USA,CUSA,Kennesaw,Kennesaw State University
Kent State University,KS_GF,Kent State,D1 Mid-American Conference,MAC,Kent State,Kent State University
University of Kentucky,KEN_WIL,Kentucky,D1 Southeastern Conference,SEC,Kentucky,University of Kentucky
Lafayette College,LAF_LEP,Lafayette,D1 Patriot League,Patriot,Lafayette,Lafayette College
Lamar University,LAM_CAR,Lamar,D1 Southland Conference,SLC,Lamar,Lamar University
Le Moyne College,MOY_MOY,Le Moyne,D1 Northeast Conference,NEC,Le Moyne,
Lehigh University,LEH_MOU,Lehigh,D1 Patriot League,Patriot,Lehigh,Lehigh University
Liberty University,LIB_FLA,Liberty,D1 Conference USA,CUSA,Liberty,Liberty University
Lindenwood University,LIN_UNI,Lindenwood,D1 Ohio Valley Conference,Ohio,Lindenwood,Lindenwood University
Lipscomb University,LIP_BIS,Lipscomb,D1 Atlantic Sun Conference,ASUN,Lipscomb,Lipscomb University
Little Rock,LIT_TRO,Little Rock,D1 Ohio Valley Conference,Ohio,Little Rock,University of Arkansas at Little Rock
Long Island University-Brooklyn,LON_ISL22,LIU Brooklyn,D1 Northeast Conference,NEC,LIU,Long Island University
Long Beach State University,LON_DIR,Long Beach State,D1 Big West Conference,Big West,Long Beach,Long Beach State University
Longwood University,LON_LAN,Longwood,D1 Big South Conference,Big South,Longwood,Longwood University
University of Louisiana at Lafayette,LOU_CAJ,Louisiana,D1 Sun Belt Conference,Sun Belt,Louisiana,University of Louisiana at Lafayette
Louisiana State University,LSU_TIG,Louisiana State,D1 Southeastern Conference,SEC,LSU,Louisiana State University
Louisiana Tech University,LOU_BUL,Louisiana Tech,D1 Conference USA,CUSA,LA Tech,Louisiana Tech University
University of Louisville,LOU_CAR,Louisville,D1 Atlantic Coast Conference,ACC,Louisville,University of Louisville
Loyola Marymount University,LOY_LIO,Loyola Marymount,D1 West Coast Conference,WCC,LMU,Loyola Marymount University
University of Maine,MAI_BLA,Maine,D1 America East Conference,AmEast,Maine,University of Maine
Manhattan College,MAN_JAS,Manhattan,D1 Metro Atlantic Athletic Conference,MAAC,Manhattan,Manhattan College
Marist College,MAR_RED,Marist,D1 Metro Atlantic Athletic Conference,MAAC,Marist,Marist College
Marshall University,MAR_THU,Marshall,D1 Sun Belt Conference,Sun Belt,Marshall,Marshall University
University of Maryland-College Park,MAR_TER,Maryland,D1 Big Ten Conference,Big 10,Maryland,"University of Maryland, College Park"
University of Maryland Eastern Shore,MAR_HAW,Maryland Eastern Shore,D1 Northeast Conference,NEC,UMES,University of Maryland Eastern Shore
McNeese State University,MCN_COW,McNeese State,D1 Southland Conference,SLC,McNeese,McNeese State University
University of Memphis,MT,Memphis,D1 American Athletic Conference,AAC,Memphis,University of Memphis
Mercer University,MER_BEA,Mercer,D1 Southern Conference,SoCon,Mercer,Mercer University
Merrimack College,MER_COL1,Merrimack,D1 Northeast Conference,NEC,Merrimack,Merrimack College
University of Miami,MIA_HUR,Miami,D1 Atlantic Coast Conference,ACC,UMiami,University of Miami
Miami University (Ohio),MIA_RED,Miami (OH),D1 Mid-American Conference,MAC,Miami OH,Miami University (Ohio)
University of Michigan,MIC_WOL,Michigan,D1 Big Ten Conference,Big 10,Michigan,University of Michigan
