Player,Comment
"Godbout, Henry","Right-handed hitting 2B from the University of Virginia. Strong pull-side power, especially against sliders. Consistently hits fastballs and breaking balls hard. Shows good plate discipline with a solid eye. Across three seasons at Virginia, he posted a .309/.397/.497 slash line last season with 8 HR, 26 BB, and just 19 K."
"Johnstone, Carter","Left-handed hitting 3B from CSU Fullerton. Highly disciplined at the plate with a strong eye—rarely chases and consistently handles quality pitching. Slashed .344/.431/.535 with 7 HR, 30 BB, and 30 K. Polished, mature approach with gap-to-gap power."
"Gasparino, Will","Right-handed hitting CF from the University of Texas. Hits the ball hard with strong impact contact. There is some chase in his approach, but he makes consistent, solid contact when in the zone. Slashed .243/.340/.514 with 13 HR. Power-speed upside in a premium defensive position."
"Tyson, Tagger",Right-handed hitting catcher from the University of Louisville. Slashed .296/.370/.481 with 1 HR. Offers offensive value at a premium defensive position.
"Niu, Maika",Right-handed hitting SS from Marshall University. Well-rounded offensive profile with consistent hard contact and a good eye at the plate. Handles high-level pitching well. Slashed .276/.343/.560 with 15 HR. Impact bat at a premium position.
"Correa, Juan","Right-handed hitting 1B from Appalachian State. Physical, power-driven bat who hits the ball extremely hard. Slashed .286/.344/.587 with 16 HR. One of the stronger power bats available at the position."
"Picarelli, Brady","Left-handed hitting outfielder. Makes good decisions at the plate and shows impact potential in a small sample. In just 11 games started, slashed .306/.393/.592 with 4 HR. High-upside bat with strong early production."
,
,
"Ellison, Oliver","RHP from Coastal Carolina. Limited action in 2025 (7.2 IP, 9.39 ERA, 8.22 K/9), but showed more consistency in 2024 with 38.1 IP, a 4.46 ERA, and 2.24 BB/9. Primary pitch is a 91.3 MPH four-seam fastball (54.7% usage), complemented by a low-spin changeup (30% usage) that generates a high whiff rate (56.2%). Shows potential with his offspeed and command profile."
"Coats, TJ","RHP from Nebraska. Four-seam fastball averages 92.2 MPH with 54.6% usage. Curveball sits at 79.4 MPH with good velocity and movement, generating a 33.3% whiff rate. In 11.1 IP, posted a 7.15 ERA with 11.91 K/9. Command is inconsistent, but the stuff shows real promise."
"McKay, Cullen","RHP from Coastal Carolina. Fastball averages 91.6 MPH with strong ride (22” vertical break), 52% whiff rate, and 55.5% usage—very effective pitch. Second pitch is a gyro-profile slider (23% usage) that generates an elite 77.8% whiff rate. In 12.1 IP, posted a 1.46 ERA with 13.14 K/9. Walk rate is high (7.3 BB/9), but the stuff is electric and projects well."
"Smith, Kolten","RHP from Georgia. Slider-heavy profile, throwing it 51.9% of the time with a gyro shape and high spin (2543 RPM). Generates a 73.9% whiff rate and locates it well. Fastball averages 91.8 MPH and plays off the slider effectively. In 41.1 IP, posted a 5.23 ERA with 12.63 K/9 and 4.14 BB/9. Strong swing-and-miss profile with potential as a high-leverage arm."
"Garcia, Santiago","LHP from Oregon. Fastball averages 91.5 MPH with strong ride and a 51.3% whiff rate—very effective pitch. Curveball sits at 80 MPH with significant depth, 23% usage, and a 57% whiff rate. In 30 IP, posted a 4.20 ERA with 12.0 K/9. Quality stuff from the left side with swing-and-miss potential."
